WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,0.020,Dnf
2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,-10.21311 -8.021458 0.9218503,-9.581141 -7.729349 1.035267,-9.102581 -7.104757 1.217093,-8.795574 -6.463005 1.442991,-8.514542 -6.073198 1.652815,-9.521317 -5.361188 1.077617,-9.336282 -4.170095 1.215123,-9.26144 -3.458068 1.356283,-9.197817 -2.853523 1.454579,-9.898652 -5.15574 1.155826,-9.778128 -3.799489 1.275089,-9.708029 -2.98022 1.447712,-9.647484 -2.308175 1.582403,-10.26658 -5.201574 1.243914,-10.18728 -3.88846 1.32574,-10.13055 -3.088857 1.425888,-10.06536 -2.44175 1.519629,-10.62713 -5.458751 1.339578,-10.70278 -4.425102 1.417147,-10.72061 -3.777639 1.510506,-10.69571 -3.182138 1.567039,0.040,DnF
2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,-10.21311 -8.021458 0.9218503,-9.581141 -7.729349 1.035267,-9.102581 -7.104757 1.217093,-8.795574 -6.463005 1.442991,-8.514542 -6.073198 1.652815,-9.521317 -5.361188 1.077617,-9.336282 -4.170095 1.215123,-9.26144 -3.458068 1.356283,-9.197817 -2.853523 1.454579,-9.898652 -5.15574 1.155826,-9.778128 -3.799489 1.275089,-9.708029 -2.98022 1.447712,-9.647484 -2.308175 1.582403,-10.26658 -5.201574 1.243914,-10.18728 -3.88846 1.32574,-10.13055 -3.088857 1.425888,-10.06536 -2.44175 1.519629,-10.62713 -5.458751 1.339578,-10.70278 -4.425102 1.417147,-10.72061 -3.777639 1.510506,-10.69571 -3.182138 1.567039,0.060,DnF
2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,-10.21311 -8.021458 0.9218503,-9.581141 -7.729349 1.035267,-9.102581 -7.104757 1.217093,-8.795574 -6.463005 1.442991,-8.514542 -6.073198 1.652815,-9.521317 -5.361188 1.077617,-9.336282 -4.170095 1.215123,-9.26144 -3.458068 1.356283,-9.197817 -2.853523 1.454579,-9.898652 -5.15574 1.155826,-9.778128 -3.799489 1.275089,-9.708029 -2.98022 1.447712,-9.647484 -2.308175 1.582403,-10.26658 -5.201574 1.243914,-10.18728 -3.88846 1.32574,-10.13055 -3.088857 1.425888,-10.06536 -2.44175 1.519629,-10.62713 -5.458751 1.339578,-10.70278 -4.425102 1.417147,-10.72061 -3.777639 1.510506,-10.69571 -3.182138 1.567039,0.080,DnF
2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,2 0 -8.866314,-10.21311 -8.021458 0.9218503,-9.581141 -7.729349 1.035267,-9.102581 -7.104757 1.217093,-8.795574 -6.463005 1.442991,-8.514542 -6.073198 1.652815,-9.521317 -5.361188 1.077617,-9.336282 -4.170095 1.215123,-9.26144 -3.458068 1.356283,-9.197817 -2.853523 1.454579,-9.898652 -5.15574 1.155826,-9.778128 -3.799489 1.275089,-9.708029 -2.98022 1.447712,-9.647484 -2.308175 1.582403,-10.26658 -5.201574 1.243914,-10.18728 -3.88846 1.32574,-10.13055 -3.088857 1.425888,-10.06536 -2.44175 1.519629,-10.62713 -5.458751 1.339578,-10.70278 -4.425102 1.417147,-10.72061 -3.777639 1.510506,-10.69571 -3.182138 1.567039,0.100,DnF
-3.146989 -6.132626 3.720847,-4.137813 -5.73862 4.28291,-4.930882 -5.205232 4.7708,-5.527843 -4.518604 5.0197,-5.888412 -3.936745 5.190206,-4.480108 -3.676815 5.758288,-5.094646 -2.051391 6.331406,-5.419512 -1.470208 6.478563,-5.643648 -1.219079 6.522321,-3.987789 -3.145404 5.538731,-4.521746 -1.317454 6.187637,-4.919777 -0.7558026 6.164067,-5.197523 -0.6062779 6.135773,-3.568565 -2.902547 5.273121,-3.9306 -1.18581 5.775219,-4.263842 -0.6750798 5.835605,-4.543604 -0.5088334 5.854911,-3.232498 -2.924572 4.998265,-3.345637 -1.695172 5.325638,-3.53403 -1.194322 5.406765,-3.753973 -0.936523 5.424364,-10.20117 -8.013796 1.05715,-9.580882 -7.723777 1.303742,-9.092311 -7.105592 1.562135,-8.787778 -6.47417 1.853588,-8.499296 -6.061622 2.122843,-9.510202 -5.338851 1.369176,-9.334459 -4.198089 1.584487,-9.273563 -3.511228 1.769845,-9.224367 -2.900827 1.888477,-9.88014 -5.124761 1.433197,-9.771221 -3.812538 1.634703,-9.712896 -3.005069 1.857572,-9.665686 -2.313514 2.021844,-10.24075 -5.17531 1.520585,-10.1771 -3.912284 1.679545,-10.13105 -3.132985 1.842739,-10.07589 -2.485699 1.978858,-10.60204 -5.446876 1.629777,-10.68144 -4.45222 1.776128,-10.70053 -3.810822 1.913321,-10.68066 -3.20418 2.006926,0.120,DnF
-3.146989 -6.132626 3.720847,-4.137813 -5.73862 4.28291,-4.930882 -5.205232 4.7708,-5.527843 -4.518604 5.0197,-5.888412 -3.936745 5.190206,-4.480108 -3.676815 5.758288,-5.094646 -2.051391 6.331406,-5.419512 -1.470208 6.478563,-5.643648 -1.219079 6.522321,-3.987789 -3.145404 5.538731,-4.521746 -1.317454 6.187637,-4.919777 -0.7558026 6.164067,-5.197523 -0.6062779 6.135773,-3.568565 -2.902547 5.273121,-3.9306 -1.18581 5.775219,-4.263842 -0.6750798 5.835605,-4.543604 -0.5088334 5.854911,-3.232498 -2.924572 4.998265,-3.345637 -1.695172 5.325638,-3.53403 -1.194322 5.406765,-3.753973 -0.936523 5.424364,-10.20117 -8.013796 1.05715,-9.580882 -7.723777 1.303742,-9.092311 -7.105592 1.562135,-8.787778 -6.47417 1.853588,-8.499296 -6.061622 2.122843,-9.510202 -5.338851 1.369176,-9.334459 -4.198089 1.584487,-9.273563 -3.511228 1.769845,-9.224367 -2.900827 1.888477,-9.88014 -5.124761 1.433197,-9.771221 -3.812538 1.634703,-9.712896 -3.005069 1.857572,-9.665686 -2.313514 2.021844,-10.24075 -5.17531 1.520585,-10.1771 -3.912284 1.679545,-10.13105 -3.132985 1.842739,-10.07589 -2.485699 1.978858,-10.60204 -5.446876 1.629777,-10.68144 -4.45222 1.776128,-10.70053 -3.810822 1.913321,-10.68066 -3.20418 2.006926,0.140,DnF
-3.146989 -6.132626 3.720847,-4.137813 -5.73862 4.28291,-4.930882 -5.205232 4.7708,-5.527843 -4.518604 5.0197,-5.888412 -3.936745 5.190206,-4.480108 -3.676815 5.758288,-5.094646 -2.051391 6.331406,-5.419512 -1.470208 6.478563,-5.643648 -1.219079 6.522321,-3.987789 -3.145404 5.538731,-4.521746 -1.317454 6.187637,-4.919777 -0.7558026 6.164067,-5.197523 -0.6062779 6.135773,-3.568565 -2.902547 5.273121,-3.9306 -1.18581 5.775219,-4.263842 -0.6750798 5.835605,-4.543604 -0.5088334 5.854911,-3.232498 -2.924572 4.998265,-3.345637 -1.695172 5.325638,-3.53403 -1.194322 5.406765,-3.753973 -0.936523 5.424364,-10.20117 -8.013796 1.05715,-9.580882 -7.723777 1.303742,-9.092311 -7.105592 1.562135,-8.787778 -6.47417 1.853588,-8.499296 -6.061622 2.122843,-9.510202 -5.338851 1.369176,-9.334459 -4.198089 1.584487,-9.273563 -3.511228 1.769845,-9.224367 -2.900827 1.888477,-9.88014 -5.124761 1.433197,-9.771221 -3.812538 1.634703,-9.712896 -3.005069 1.857572,-9.665686 -2.313514 2.021844,-10.24075 -5.17531 1.520585,-10.1771 -3.912284 1.679545,-10.13105 -3.132985 1.842739,-10.07589 -2.485699 1.978858,-10.60204 -5.446876 1.629777,-10.68144 -4.45222 1.776128,-10.70053 -3.810822 1.913321,-10.68066 -3.20418 2.006926,0.160,DnF
-3.06136 -6.401034 3.420069,-3.872417 -5.879236 3.901544,-4.546247 -5.230857 4.28262,-5.009657 -4.560791 4.641054,-5.396711 -3.945258 5.036933,-4.090351 -3.21151 3.998945,-4.487055 -1.991315 4.40728,-4.697307 -1.381386 4.769597,-4.918897 -0.8953719 5.034362,-3.671261 -2.991851 3.993608,-3.94577 -1.552648 4.406118,-4.166222 -0.8774505 4.764683,-4.409678 -0.376359 5.053723,-3.275684 -3.087897 4.035549,-3.393497 -1.679706 4.417336,-3.584892 -1.007139 4.769813,-3.830046 -0.4828877 5.026956,-2.86399 -3.442565 4.107677,-2.841922 -2.428415 4.45246,-2.90621 -1.79363 4.695677,-3.045265 -1.198665 4.913522,-10.21773 -7.961509 0.6977401,-9.565854 -7.704257 0.7965164,-9.075993 -7.11695 0.983097,-8.760993 -6.478603 1.194155,-8.480921 -6.068034 1.385547,-9.495869 -5.390163 0.9236868,-9.301653 -4.152263 1.067044,-9.243197 -3.428541 1.187208,-9.197298 -2.831923 1.253229,-9.884949 -5.165736 0.9671683,-9.755693 -3.762883 1.102734,-9.703972 -2.92865 1.250466,-9.66615 -2.251367 1.36139,-10.26369 -5.201157 1.003391,-10.16618 -3.857532 1.078095,-10.11136 -3.059809 1.144929,-10.05529 -2.419166 1.210111,-10.62816 -5.449453 1.039664,-10.68035 -4.406452 1.08734,-10.69415 -3.773788 1.153336,-10.66895 -3.18677 1.189172,0.180,DnF
-3.06136 -6.401034 3.420069,-3.872417 -5.879236 3.901544,-4.546247 -5.230857 4.28262,-5.009657 -4.560791 4.641054,-5.396711 -3.945258 5.036933,-4.090351 -3.21151 3.998945,-4.487055 -1.991315 4.40728,-4.697307 -1.381386 4.769597,-4.918897 -0.8953719 5.034362,-3.671261 -2.991851 3.993608,-3.94577 -1.552648 4.406118,-4.166222 -0.8774505 4.764683,-4.409678 -0.376359 5.053723,-3.275684 -3.087897 4.035549,-3.393497 -1.679706 4.417336,-3.584892 -1.007139 4.769813,-3.830046 -0.4828877 5.026956,-2.86399 -3.442565 4.107677,-2.841922 -2.428415 4.45246,-2.90621 -1.79363 4.695677,-3.045265 -1.198665 4.913522,-10.21773 -7.961509 0.6977401,-9.565854 -7.704257 0.7965164,-9.075993 -7.11695 0.983097,-8.760993 -6.478603 1.194155,-8.480921 -6.068034 1.385547,-9.495869 -5.390163 0.9236868,-9.301653 -4.152263 1.067044,-9.243197 -3.428541 1.187208,-9.197298 -2.831923 1.253229,-9.884949 -5.165736 0.9671683,-9.755693 -3.762883 1.102734,-9.703972 -2.92865 1.250466,-9.66615 -2.251367 1.36139,-10.26369 -5.201157 1.003391,-10.16618 -3.857532 1.078095,-10.11136 -3.059809 1.144929,-10.05529 -2.419166 1.210111,-10.62816 -5.449453 1.039664,-10.68035 -4.406452 1.08734,-10.69415 -3.773788 1.153336,-10.66895 -3.18677 1.189172,0.200,DnF
-3.06136 -6.401034 3.420069,-3.872417 -5.879236 3.901544,-4.546247 -5.230857 4.28262,-5.009657 -4.560791 4.641054,-5.396711 -3.945258 5.036933,-4.090351 -3.21151 3.998945,-4.487055 -1.991315 4.40728,-4.697307 -1.381386 4.769597,-4.918897 -0.8953719 5.034362,-3.671261 -2.991851 3.993608,-3.94577 -1.552648 4.406118,-4.166222 -0.8774505 4.764683,-4.409678 -0.376359 5.053723,-3.275684 -3.087897 4.035549,-3.393497 -1.679706 4.417336,-3.584892 -1.007139 4.769813,-3.830046 -0.4828877 5.026956,-2.86399 -3.442565 4.107677,-2.841922 -2.428415 4.45246,-2.90621 -1.79363 4.695677,-3.045265 -1.198665 4.913522,-10.21773 -7.961509 0.6977401,-9.565854 -7.704257 0.7965164,-9.075993 -7.11695 0.983097,-8.760993 -6.478603 1.194155,-8.480921 -6.068034 1.385547,-9.495869 -5.390163 0.9236868,-9.301653 -4.152263 1.067044,-9.243197 -3.428541 1.187208,-9.197298 -2.831923 1.253229,-9.884949 -5.165736 0.9671683,-9.755693 -3.762883 1.102734,-9.703972 -2.92865 1.250466,-9.66615 -2.251367 1.36139,-10.26369 -5.201157 1.003391,-10.16618 -3.857532 1.078095,-10.11136 -3.059809 1.144929,-10.05529 -2.419166 1.210111,-10.62816 -5.449453 1.039664,-10.68035 -4.406452 1.08734,-10.69415 -3.773788 1.153336,-10.66895 -3.18677 1.189172,0.220,DnF
-2.794876 -6.42583 2.89114,-3.590598 -5.915374 3.342087,-4.270006 -5.183691 3.658453,-4.776159 -4.49332 3.946624,-5.249123 -4.073148 4.296376,-3.803944 -3.386943 3.392376,-4.107508 -2.124022 3.668487,-4.312967 -1.461544 3.930985,-4.560668 -0.9204955 4.137835,-3.379686 -3.152564 3.368952,-3.626993 -1.718072 3.667268,-3.831993 -0.9513602 3.990463,-4.087506 -0.3945994 4.289633,-2.976539 -3.237739 3.403828,-3.133476 -1.867365 3.676784,-3.332937 -1.108554 4.011331,-3.603315 -0.5456977 4.293067,-2.567379 -3.581518 3.48043,-2.511844 -2.61767 3.75072,-2.568077 -1.989562 3.972795,-2.700147 -1.405108 4.186749,-10.19681 -7.975951 0.7838979,-9.542904 -7.727141 0.891675,-9.056752 -7.125513 1.07454,-8.743702 -6.489362 1.288778,-8.471575 -6.087607 1.482682,-9.483057 -5.371082 0.9552633,-9.307833 -4.143957 1.087829,-9.246563 -3.414148 1.220893,-9.19149 -2.808168 1.308369,-9.867857 -5.150363 1.001825,-9.750922 -3.769046 1.116913,-9.689713 -2.939701 1.275454,-9.637394 -2.265964 1.395634,-10.24416 -5.184749 1.048004,-10.15237 -3.859295 1.117511,-10.08976 -3.05907 1.205767,-10.02022 -2.412916 1.283865,-10.60985 -5.435009 1.097915,-10.6675 -4.394869 1.1572,-10.67884 -3.750013 1.24216,-10.64697 -3.152681 1.288123,0.240,DnF
-2.794876 -6.42583 2.89114,-3.590598 -5.915374 3.342087,-4.270006 -5.183691 3.658453,-4.776159 -4.49332 3.946624,-5.249123 -4.073148 4.296376,-3.803944 -3.386943 3.392376,-4.107508 -2.124022 3.668487,-4.312967 -1.461544 3.930985,-4.560668 -0.9204955 4.137835,-3.379686 -3.152564 3.368952,-3.626993 -1.718072 3.667268,-3.831993 -0.9513602 3.990463,-4.087506 -0.3945994 4.289633,-2.976539 -3.237739 3.403828,-3.133476 -1.867365 3.676784,-3.332937 -1.108554 4.011331,-3.603315 -0.5456977 4.293067,-2.567379 -3.581518 3.48043,-2.511844 -2.61767 3.75072,-2.568077 -1.989562 3.972795,-2.700147 -1.405108 4.186749,-10.19681 -7.975951 0.7838979,-9.542904 -7.727141 0.891675,-9.056752 -7.125513 1.07454,-8.743702 -6.489362 1.288778,-8.471575 -6.087607 1.482682,-9.483057 -5.371082 0.9552633,-9.307833 -4.143957 1.087829,-9.246563 -3.414148 1.220893,-9.19149 -2.808168 1.308369,-9.867857 -5.150363 1.001825,-9.750922 -3.769046 1.116913,-9.689713 -2.939701 1.275454,-9.637394 -2.265964 1.395634,-10.24416 -5.184749 1.048004,-10.15237 -3.859295 1.117511,-10.08976 -3.05907 1.205767,-10.02022 -2.412916 1.283865,-10.60985 -5.435009 1.097915,-10.6675 -4.394869 1.1572,-10.67884 -3.750013 1.24216,-10.64697 -3.152681 1.288123,0.260,DnF
-2.794876 -6.42583 2.89114,-3.590598 -5.915374 3.342087,-4.270006 -5.183691 3.658453,-4.776159 -4.49332 3.946624,-5.249123 -4.073148 4.296376,-3.803944 -3.386943 3.392376,-4.107508 -2.124022 3.668487,-4.312967 -1.461544 3.930985,-4.560668 -0.9204955 4.137835,-3.379686 -3.152564 3.368952,-3.626993 -1.718072 3.667268,-3.831993 -0.9513602 3.990463,-4.087506 -0.3945994 4.289633,-2.976539 -3.237739 3.403828,-3.133476 -1.867365 3.676784,-3.332937 -1.108554 4.011331,-3.603315 -0.5456977 4.293067,-2.567379 -3.581518 3.48043,-2.511844 -2.61767 3.75072,-2.568077 -1.989562 3.972795,-2.700147 -1.405108 4.186749,-10.19681 -7.975951 0.7838979,-9.542904 -7.727141 0.891675,-9.056752 -7.125513 1.07454,-8.743702 -6.489362 1.288778,-8.471575 -6.087607 1.482682,-9.483057 -5.371082 0.9552633,-9.307833 -4.143957 1.087829,-9.246563 -3.414148 1.220893,-9.19149 -2.808168 1.308369,-9.867857 -5.150363 1.001825,-9.750922 -3.769046 1.116913,-9.689713 -2.939701 1.275454,-9.637394 -2.265964 1.395634,-10.24416 -5.184749 1.048004,-10.15237 -3.859295 1.117511,-10.08976 -3.05907 1.205767,-10.02022 -2.412916 1.283865,-10.60985 -5.435009 1.097915,-10.6675 -4.394869 1.1572,-10.67884 -3.750013 1.24216,-10.64697 -3.152681 1.288123,0.280,DnF
-2.508018 -6.547611 2.431384,-3.303368 -6.149311 2.885062,-3.994919 -5.392154 3.179582,-4.496392 -4.698619 3.434207,-4.994276 -4.271732 3.752628,-3.547062 -3.659666 2.921696,-3.8402 -2.414114 3.175401,-4.019026 -1.776 3.416519,-4.218456 -1.256752 3.612612,-3.110321 -3.407251 2.872365,-3.334702 -1.999725 3.132459,-3.503813 -1.27236 3.400643,-3.712651 -0.739244 3.643753,-2.695646 -3.479841 2.88893,-2.825065 -2.15079 3.145238,-2.983467 -1.424817 3.448563,-3.195721 -0.8605895 3.702075,-2.280114 -3.80945 2.946392,-2.222899 -2.875251 3.214312,-2.266573 -2.278917 3.430596,-2.377148 -1.724885 3.63625,-10.19968 -7.945923 0.7118304,-9.540988 -7.6867 0.8194001,-9.048199 -7.113809 1.010685,-8.725267 -6.492086 1.226695,-8.448825 -6.097642 1.427263,-9.478334 -5.362726 0.9174668,-9.292511 -4.122879 1.053461,-9.232929 -3.389744 1.179762,-9.18042 -2.788835 1.258171,-9.865298 -5.143462 0.9507582,-9.740089 -3.756673 1.078486,-9.687768 -2.925045 1.228576,-9.642857 -2.251091 1.343042,-10.23777 -5.176254 0.9799345,-10.14126 -3.854785 1.048729,-10.08629 -3.062542 1.115431,-10.02515 -2.42275 1.177817,-10.59532 -5.41959 1.007689,-10.64457 -4.389992 1.058703,-10.65596 -3.758721 1.122667,-10.62672 -3.175609 1.154861,0.300,DnF
-2.508018 -6.547611 2.431384,-3.303368 -6.149311 2.885062,-3.994919 -5.392154 3.179582,-4.496392 -4.698619 3.434207,-4.994276 -4.271732 3.752628,-3.547062 -3.659666 2.921696,-3.8402 -2.414114 3.175401,-4.019026 -1.776 3.416519,-4.218456 -1.256752 3.612612,-3.110321 -3.407251 2.872365,-3.334702 -1.999725 3.132459,-3.503813 -1.27236 3.400643,-3.712651 -0.739244 3.643753,-2.695646 -3.479841 2.88893,-2.825065 -2.15079 3.145238,-2.983467 -1.424817 3.448563,-3.195721 -0.8605895 3.702075,-2.280114 -3.80945 2.946392,-2.222899 -2.875251 3.214312,-2.266573 -2.278917 3.430596,-2.377148 -1.724885 3.63625,-10.19968 -7.945923 0.7118304,-9.540988 -7.6867 0.8194001,-9.048199 -7.113809 1.010685,-8.725267 -6.492086 1.226695,-8.448825 -6.097642 1.427263,-9.478334 -5.362726 0.9174668,-9.292511 -4.122879 1.053461,-9.232929 -3.389744 1.179762,-9.18042 -2.788835 1.258171,-9.865298 -5.143462 0.9507582,-9.740089 -3.756673 1.078486,-9.687768 -2.925045 1.228576,-9.642857 -2.251091 1.343042,-10.23777 -5.176254 0.9799345,-10.14126 -3.854785 1.048729,-10.08629 -3.062542 1.115431,-10.02515 -2.42275 1.177817,-10.59532 -5.41959 1.007689,-10.64457 -4.389992 1.058703,-10.65596 -3.758721 1.122667,-10.62672 -3.175609 1.154861,0.320,DnF
-2.508018 -6.547611 2.431384,-3.303368 -6.149311 2.885062,-3.994919 -5.392154 3.179582,-4.496392 -4.698619 3.434207,-4.994276 -4.271732 3.752628,-3.547062 -3.659666 2.921696,-3.8402 -2.414114 3.175401,-4.019026 -1.776 3.416519,-4.218456 -1.256752 3.612612,-3.110321 -3.407251 2.872365,-3.334702 -1.999725 3.132459,-3.503813 -1.27236 3.400643,-3.712651 -0.739244 3.643753,-2.695646 -3.479841 2.88893,-2.825065 -2.15079 3.145238,-2.983467 -1.424817 3.448563,-3.195721 -0.8605895 3.702075,-2.280114 -3.80945 2.946392,-2.222899 -2.875251 3.214312,-2.266573 -2.278917 3.430596,-2.377148 -1.724885 3.63625,-10.19968 -7.945923 0.7118304,-9.540988 -7.6867 0.8194001,-9.048199 -7.113809 1.010685,-8.725267 -6.492086 1.226695,-8.448825 -6.097642 1.427263,-9.478334 -5.362726 0.9174668,-9.292511 -4.122879 1.053461,-9.232929 -3.389744 1.179762,-9.18042 -2.788835 1.258171,-9.865298 -5.143462 0.9507582,-9.740089 -3.756673 1.078486,-9.687768 -2.925045 1.228576,-9.642857 -2.251091 1.343042,-10.23777 -5.176254 0.9799345,-10.14126 -3.854785 1.048729,-10.08629 -3.062542 1.115431,-10.02515 -2.42275 1.177817,-10.59532 -5.41959 1.007689,-10.64457 -4.389992 1.058703,-10.65596 -3.758721 1.122667,-10.62672 -3.175609 1.154861,0.340,DnF
-2.304574 -6.686961 2.04447,-3.063293 -6.37841 2.539572,-3.72478 -5.690908 2.85124,-4.189833 -5.034919 3.113713,-4.654428 -4.579014 3.431174,-3.314483 -3.906222 2.650117,-3.575737 -2.729842 2.994541,-3.703087 -2.133091 3.253589,-3.846785 -1.600118 3.461143,-2.874701 -3.677288 2.623415,-3.038073 -2.372968 2.96452,-3.138052 -1.730965 3.228666,-3.262393 -1.18913 3.464993,-2.454299 -3.781091 2.660971,-2.518729 -2.553785 3.004685,-2.598785 -1.91502 3.339089,-2.716152 -1.363782 3.61275,-2.032502 -4.12804 2.735665,-1.940248 -3.248976 3.092337,-1.936949 -2.725815 3.380503,-1.988311 -2.24625 3.63146,-10.16739 -7.957202 0.6911035,-9.51068 -7.73245 0.7752986,-9.028833 -7.141887 0.9462411,-8.716046 -6.513413 1.153603,-8.445318 -6.110437 1.341393,-9.454738 -5.370882 0.8144149,-9.269448 -4.126169 0.9342107,-9.205287 -3.393593 1.064619,-9.151556 -2.781791 1.153626,-9.840452 -5.155342 0.8696138,-9.71121 -3.754783 0.9752541,-9.648927 -2.918386 1.130207,-9.599546 -2.239582 1.249574,-10.21733 -5.192852 0.9219619,-10.11668 -3.839349 0.9847192,-10.05223 -3.023075 1.077006,-9.986286 -2.358831 1.159778,-10.58437 -5.443433 0.9740069,-10.634 -4.375129 1.032432,-10.65596 -3.758721 1.101941,-10.62672 -3.175609 1.134135,0.360,DnF
-2.304574 -6.686961 2.04447,-3.063293 -6.37841 2.539572,-3.72478 -5.690908 2.85124,-4.189833 -5.034919 3.113713,-4.654428 -4.579014 3.431174,-3.314483 -3.906222 2.650117,-3.575737 -2.729842 2.994541,-3.703087 -2.133091 3.253589,-3.846785 -1.600118 3.461143,-2.874701 -3.677288 2.623415,-3.038073 -2.372968 2.96452,-3.138052 -1.730965 3.228666,-3.262393 -1.18913 3.464993,-2.454299 -3.781091 2.660971,-2.518729 -2.553785 3.004685,-2.598785 -1.91502 3.339089,-2.716152 -1.363782 3.61275,-2.032502 -4.12804 2.735665,-1.940248 -3.248976 3.092337,-1.936949 -2.725815 3.380503,-1.988311 -2.24625 3.63146,-10.16739 -7.957202 0.6911035,-9.51068 -7.73245 0.7752986,-9.028833 -7.141887 0.9462411,-8.716046 -6.513413 1.153603,-8.445318 -6.110437 1.341393,-9.454738 -5.370882 0.8144149,-9.269448 -4.126169 0.9342107,-9.205287 -3.393593 1.064619,-9.151556 -2.781791 1.153626,-9.840452 -5.155342 0.8696138,-9.71121 -3.754783 0.9752541,-9.648927 -2.918386 1.130207,-9.599546 -2.239582 1.249574,-10.21733 -5.192852 0.9219619,-10.11668 -3.839349 0.9847192,-10.05223 -3.023075 1.077006,-9.986286 -2.358831 1.159778,-10.58437 -5.443433 0.9740069,-10.634 -4.375129 1.032432,-10.63679 -3.714511 1.12206,-10.59923 -3.106115 1.174684,0.380,DnF
